CRASH_DATE,COUNT
2016-01-01,72
2016-01-02,79
2016-01-03,65
2016-01-04,91
2016-01-05,101
2016-01-06,74
2016-01-07,69
2016-01-08,114
2016-01-09,104
2016-01-10,68
2016-01-11,120
2016-01-12,114
2016-01-13,106
2016-01-14,102
2016-01-15,84
2016-01-16,88
2016-01-17,52
2016-01-18,64
2016-01-19,90
2016-01-20,120
2016-01-21,137
2016-01-22,121
2016-01-23,83
2016-01-24,49
2016-01-25,86
2016-01-26,83
2016-01-27,85
2016-01-28,82
2016-01-29,100
2016-01-30,85
2016-01-31,77
2016-02-01,83
2016-02-02,105
2016-02-03,64
2016-02-04,87
2016-02-05,86
2016-02-06,72
2016-02-07,49
2016-02-08,63
2016-02-09,124
2016-02-10,100
2016-02-11,91
2016-02-12,100
2016-02-13,87
2016-02-14,107
2016-02-15,63
2016-02-16,79
2016-02-17,84
2016-02-18,75
2016-02-19,148
2016-02-20,108
2016-02-21,63
2016-02-22,86
2016-02-23,91
2016-02-24,95
2016-02-25,81
2016-02-26,109
2016-02-27,88
2016-02-28,68
2016-02-29,83
2016-03-01,102
2016-03-02,106
2016-03-03,98
2016-03-04,112
2016-03-05,87
2016-03-06,73
2016-03-07,100
2016-03-08,87
2016-03-09,73
2016-03-10,95
2016-03-11,101
2016-03-12,105
2016-03-13,98
2016-03-14,103
2016-03-15,116
2016-03-16,79
2016-03-17,90
2016-03-18,114
2016-03-19,86
2016-03-20,78
2016-03-21,85
2016-03-22,89
2016-03-23,110
2016-03-24,110
2016-03-25,95
2016-03-26,86
2016-03-27,77
2016-03-28,84
2016-03-29,86
2016-03-30,95
2016-03-31,96
2016-04-01,122
2016-04-02,96
2016-04-03,82
2016-04-04,107
2016-04-05,104
2016-04-06,93
2016-04-07,104
2016-04-08,137
2016-04-09,158
2016-04-10,61
2016-04-11,93
2016-04-12,101
2016-04-13,88
2016-04-14,115
2016-04-15,119
2016-04-16,98
2016-04-17,71
2016-04-18,76
2016-04-19,56
2016-04-20,104
2016-04-21,76
2016-04-22,77
2016-04-23,67
2016-04-24,70
2016-04-25,110
2016-04-26,109
2016-04-27,94
2016-04-28,90
2016-04-29,101
2016-04-30,123
2016-05-01,84
2016-05-02,110
2016-05-03,94
2016-05-04,79
2016-05-05,92
2016-05-06,122
2016-05-07,91
2016-05-08,89
2016-05-09,104
2016-05-10,112
2016-05-11,93
2016-05-12,98
2016-05-13,118
2016-05-14,89
2016-05-15,67
2016-05-16,95
2016-05-17,96
2016-05-18,97
2016-05-19,115
2016-05-20,115
2016-05-21,108
2016-05-22,69
2016-05-23,111
2016-05-24,101
2016-05-25,138
2016-05-26,108
2016-05-27,130
2016-05-28,100
2016-05-29,65
2016-05-30,69
2016-05-31,132
2016-06-01,135
2016-06-02,109
2016-06-03,100
2016-06-04,75
2016-06-05,66
2016-06-06,104
2016-06-07,99
2016-06-08,79
2016-06-09,111
2016-06-10,140
2016-06-11,87
2016-06-12,61
2016-06-13,115
2016-06-14,82
2016-06-15,106
2016-06-16,97
2016-06-17,129
2016-06-18,75
2016-06-19,107
2016-06-20,121
2016-06-21,92
2016-06-22,81
2016-06-23,68
2016-06-24,92
2016-06-25,106
2016-06-26,69
2016-06-27,71
2016-06-28,80
2016-06-29,80
2016-06-30,94
2016-07-01,115
2016-07-02,79
2016-07-03,76
2016-07-04,48
2016-07-05,92
2016-07-06,108
2016-07-07,106
2016-07-08,140
2016-07-09,87
2016-07-10,68
2016-07-11,106
2016-07-12,105
2016-07-13,97
2016-07-14,119
2016-07-15,115
2016-07-16,104
2016-07-17,78
2016-07-18,82
2016-07-19,113
2016-07-20,141
2016-07-21,102
2016-07-22,131
2016-07-23,124
2016-07-24,88
2016-07-25,145
2016-07-26,142
2016-07-27,122
2016-07-28,106
2016-07-29,143
2016-07-30,115
2016-07-31,119
2016-08-01,119
2016-08-02,113
2016-08-03,123
2016-08-04,131
2016-08-05,179
2016-08-06,177
2016-08-07,118
2016-08-08,108
2016-08-09,108
2016-08-10,109
2016-08-11,144
2016-08-12,222
2016-08-13,144
2016-08-14,140
2016-08-15,116
2016-08-16,138
2016-08-17,133
2016-08-18,143
2016-08-19,156
2016-08-20,169
2016-08-21,147
2016-08-22,150
2016-08-23,129
2016-08-24,141
2016-08-25,124
2016-08-26,150
2016-08-27,168
2016-08-28,126
2016-08-29,180
2016-08-30,192
2016-08-31,164
2016-09-01,167
2016-09-02,181
2016-09-03,149
2016-09-04,136
2016-09-05,104
2016-09-06,175
2016-09-07,174
2016-09-08,175
2016-09-09,180
2016-09-10,149
2016-09-11,121
2016-09-12,163
2016-09-13,160
2016-09-14,130
2016-09-15,164
2016-09-16,204
2016-09-17,161
2016-09-18,123
2016-09-19,155
2016-09-20,149
2016-09-21,169
2016-09-22,158
2016-09-23,165
2016-09-24,134
2016-09-25,124
2016-09-26,142
2016-09-27,146
2016-09-28,204
2016-09-29,181
2016-09-30,166
2016-10-01,173
2016-10-02,114
2016-10-03,119
2016-10-04,145
2016-10-05,170
